InvEventFK,InvName,InvCount
invHDfor-SL12-008-sep,Ablabesmyia,3
invHDfor-SL12-011-sep,Ablabesmyia,1
invHDfor-SL12-021-sep,Ablabesmyia,1
invHDfor-SL12-022-sep,Ablabesmyia,11
invHDfor-SL12-023-sep,Ablabesmyia,2
invHDfor-SL12-030-sep,Ablabesmyia,5
invHDfor-SL12-044-sep,Ablabesmyia,2
invSWfor-SL12-978-sep,Ablabesmyia,1
invPPfor-SL12-012-sep,Ablabesmyia annulata,3
invPPfor-SL12-014-sep,Ablabesmyia annulata,1
invPPfor-SL12-018-sep,Ablabesmyia annulata,6
invPPfor-SL12-030-sep,Ablabesmyia annulata,1
invPPfor-SL12-033-sep,Ablabesmyia annulata,2
invPPfor-SL12-036-sep,Ablabesmyia annulata,2
invPPfor-SL12-046-sep,Ablabesmyia annulata,1
invPPfor-SL12-060-sep,Ablabesmyia annulata,1
invPPfor-SL12-062-sep,Ablabesmyia annulata,1
invPPfor-SL12-070-sep,Ablabesmyia annulata,1
invHDfor-SL12-008-sep,Ablabesmyia mallochi,3
invHDfor-SL12-011-sep,Ablabesmyia mallochi,2
invHDfor-SL12-014-sep,Ablabesmyia mallochi,4
invHDfor-SL12-017-sep,Ablabesmyia mallochi,2
invHDfor-SL12-021-sep,Ablabesmyia mallochi,1
invHDfor-SL12-022-sep,Ablabesmyia mallochi,1
invHDfor-SL12-023-sep,Ablabesmyia mallochi,5
invHDfor-SL12-034-sep,Ablabesmyia mallochi,2
invHDfor-SL12-044-sep,Ablabesmyia mallochi,1
invHDfor-SL12-053-sep,Ablabesmyia mallochi,2
invHDfor-SL12-057-sep,Ablabesmyia mallochi,2
invPPfor-SL12-024-sep,Ablabesmyia mallochi,1
invSWfor-SL12-053-sep,Ablabesmyia mallochi,1
invSWfor-SL12-130-sep,Ablabesmyia mallochi,2
invSWfor-SL12-191-sep,Ablabesmyia mallochi,1
invPPfor-SL12-012-sep,Ablabesmyia monilis,1
invSWfor-SL12-053-sep,Ablabesmyia monilis,4
invSWfor-SL12-096-sep,Ablabesmyia monilis,5
invSWfor-SL12-121-sep,Ablabesmyia monilis,2
invSWfor-SL12-445-sep,Ablabesmyia monilis,1
invSWfor-SL12-978-sep,Ablabesmyia monilis,5
invHDfor-SL12-021-sep,Acariformes,49
invHDfor-SL12-023-sep,Acariformes,1
invHDfor-SL12-044-sep,Acariformes,1
invHDfor-SL12-057-sep,Acariformes,14
invPPfor-SL12-006-sep,Acariformes,1
invPPfor-SL12-008-sep,Acariformes,1
invPPfor-SL12-018-sep,Acariformes,1
invPPfor-SL12-019-sep,Acariformes,1
invPPfor-SL12-025-sep,Acariformes,1
invPPfor-SL12-061-sep,Acariformes,1
invSWfor-SL12-053-sep,Acariformes,5
invSWfor-SL12-060-sep,Acariformes,1
invSWfor-SL12-101-sep,Acariformes,2
invSWfor-SL12-121-sep,Acariformes,7
invSWfor-SL12-191-sep,Acariformes,6
invSWfor-SL12-445-sep,Acariformes,1
invSWfor-SL12-445-sep,Acentria,2
invSWfor-SL12-096-sep,Acricotopus,16
invHDfor-SL12-010-sep,Agraylea,1
invHDfor-SL12-017-sep,Agraylea,3
invSWfor-SL12-096-sep,Agraylea,12
invSWfor-SL12-191-sep,Agraylea,1
invSWfor-SL12-445-sep,Agraylea,5
invSWfor-SL12-012-sep,Alboglossiphonia heteroclita,1
invSWfor-SL12-096-sep,Alboglossiphonia heteroclita,3
invSWfor-SL12-121-sep,Alboglossiphonia heteroclita,2
invPPfor-SL12-030-sep,Amnicola,1
invPPfor-SL12-022-sep,Amnicola limosa,1
invPPfor-SL12-032-sep,Amnicola limosa,1
invSWfor-SL12-012-sep,Amnicola limosa,5
invSWfor-SL12-060-sep,Amnicola limosa,15
invSWfor-SL12-096-sep,Amnicola limosa,13
invSWfor-SL12-101-sep,Amnicola limosa,97
invSWfor-SL12-121-sep,Amnicola limosa,120
invSWfor-SL12-130-sep,Amnicola limosa,66
invSWfor-SL12-191-sep,Amnicola limosa,17
invSWfor-SL12-444-sep,Amnicola limosa,4
invSWfor-SL12-978-sep,Amnicola limosa,103
invHDfor-SL12-010-sep,Amphipoda,3
invHDfor-SL12-018-sep,Amphipoda,9
invSWfor-SL12-121-sep,Anax,2
invSWfor-SL12-012-sep,Anax junius,1
invSWfor-SL12-096-sep,Anax junius,3
invSWfor-SL12-191-sep,Anax junius,4
invSWfor-SL12-444-sep,Anax junius,1
invSWfor-SL12-445-sep,Anax junius,1
invSWfor-SL12-053-sep,Ancylidae,1
invSWfor-SL12-101-sep,Ancylidae,57
invSWfor-SL12-121-sep,Ancylidae,13
invSWfor-SL12-445-sep,Ancylidae,11
invHDfor-SL12-034-sep,Arcteonais lomondi,1
invSWfor-SL12-012-sep,Arcteonais lomondi,1
invSWfor-SL12-060-sep,Arcteonais lomondi,4
invPPfor-SL12-013-sep,Arrenurus,1
invSWfor-SL12-011-sep,Arrenurus,1
invSWfor-SL12-096-sep,Arrenurus,21
invSWfor-SL12-101-sep,Arrenurus,43
invSWfor-SL12-121-sep,Arrenurus,3
invSWfor-SL12-978-sep,Arrenurus,3
invPPfor-SL12-012-sep,Aulodrilus americanus,1
invPPfor-SL12-014-sep,Aulodrilus americanus,1
invPPfor-SL12-016-sep,Aulodrilus americanus,4
invPPfor-SL12-017-sep,Aulodrilus americanus,1
invPPfor-SL12-018-sep,Aulodrilus americanus,1
invPPfor-SL12-023-sep,Aulodrilus americanus,5
invPPfor-SL12-025-sep,Aulodrilus americanus,1
invPPfor-SL12-034-sep,Aulodrilus americanus,1
invPPfor-SL12-045-sep,Aulodrilus americanus,2
invPPfor-SL12-004-sep,Aulodrilus limnobius,4
invPPfor-SL12-006-sep,Aulodrilus limnobius,1
invPPfor-SL12-016-sep,Aulodrilus limnobius,2
invPPfor-SL12-025-sep,Aulodrilus limnobius,3
invPPfor-SL12-056-sep,Aulodrilus limnobius,3
invSWfor-SL12-012-sep,Aulodrilus limnobius,1
invSWfor-SL12-053-sep,Aulodrilus limnobius,1
invSWfor-SL12-096-sep,Aulodrilus limnobius,1
invSWfor-SL12-101-sep,Aulodrilus limnobius,2
invSWfor-SL12-191-sep,Aulodrilus limnobius,1
invPPfor-SL12-009-sep,Aulodrilus pigueti,2
invPPfor-SL12-016-sep,Aulodrilus pigueti,6
invPPfor-SL12-029-sep,Aulodrilus pigueti,1
invPPfor-SL12-032-sep,Aulodrilus pigueti,1
invPPfor-SL12-045-sep,Aulodrilus pigueti,1
invPPfor-SL12-046-sep,Aulodrilus pigueti,20
invPPfor-SL12-052-sep,Aulodrilus pigueti,23
invPPfor-SL12-056-sep,Aulodrilus pigueti,3
invPPfor-SL12-062-sep,Aulodrilus pigueti,1
invSWfor-SL12-096-sep,Aulodrilus pigueti,6
invSWfor-SL12-101-sep,Aulodrilus pigueti,1
invPPfor-SL12-001-sep,Aulodrilus pluriseta,1
invPPfor-SL12-009-sep,Aulodrilus pluriseta,3
invPPfor-SL12-012-sep,Aulodrilus pluriseta,1
invPPfor-SL12-016-sep,Aulodrilus pluriseta,2
invPPfor-SL12-025-sep,Aulodrilus pluriseta,3
invPPfor-SL12-051-sep,Aulodrilus pluriseta,11
invPPfor-SL12-062-sep,Aulodrilus pluriseta,19
invSWfor-SL12-012-sep,Aulodrilus pluriseta,1
invSWfor-SL12-053-sep,Aulodrilus pluriseta,2
invSWfor-SL12-011-sep,Baetidae,1
invSWfor-SL12-060-sep,Baetidae,5
invSWfor-SL12-063-sep,Baetidae,1
invSWfor-SL12-096-sep,Baetidae,6
invSWfor-SL12-101-sep,Baetidae,5
invSWfor-SL12-444-sep,Baetidae,3
invHDfor-SL12-017-sep,Baetis flavistriga,2
invSWfor-SL12-444-sep,Belostoma,1
invSWfor-SL12-445-sep,Belostoma,2
invSWfor-SL12-101-sep,Belostoma flumineum,4
invSWfor-SL12-191-sep,Belostoma flumineum,1
invSWfor-SL12-096-sep,Bezzia/Palpomyia,5
invSWfor-SL12-445-sep,Bezzia/Palpomyia,1
invSWfor-SL12-012-sep,Bithynia tentaculata,1
invSWfor-SL12-096-sep,Bithynia tentaculata,71
invSWfor-SL12-101-sep,Bithynia tentaculata,1
invSWfor-SL12-121-sep,Bithynia tentaculata,384
invSWfor-SL12-191-sep,Bithynia tentaculata,1
invSWfor-SL12-096-sep,Bivalvia,1
invSWfor-SL12-101-sep,Bivalvia,49
invSWfor-SL12-445-sep,Bivalvia,23
invSWfor-SL12-978-sep,Brachycera,2
invSWfor-SL12-130-sep,Bryozoa,0
invPPfor-SL12-007-sep,Caecidotea,2
invPPfor-SL12-044-sep,Caecidotea,1
invSWfor-SL12-012-sep,Caecidotea,2
invSWfor-SL12-018-sep,Caecidotea,1
invSWfor-SL12-060-sep,Caecidotea,1
invSWfor-SL12-096-sep,Caecidotea,186
invSWfor-SL12-101-sep,Caecidotea,3
invSWfor-SL12-121-sep,Caecidotea,214
invSWfor-SL12-978-sep,Caecidotea,1
invHDfor-SL12-030-sep,Caenidae,1
invHDfor-SL12-008-sep,Caenis,7
invHDfor-SL12-010-sep,Caenis,1
invHDfor-SL12-011-sep,Caenis,1
invHDfor-SL12-014-sep,Caenis,3
invHDfor-SL12-021-sep,Caenis,2
invHDfor-SL12-022-sep,Caenis,25
invHDfor-SL12-023-sep,Caenis,4
invHDfor-SL12-030-sep,Caenis,1
invHDfor-SL12-033-sep,Caenis,3
invHDfor-SL12-044-sep,Caenis,3
invHDfor-SL12-053-sep,Caenis,4
invHDfor-SL12-057-sep,Caenis,1
invHDfor-SL12-060-sep,Caenis,3
invPPfor-SL12-018-sep,Caenis,1
invSWfor-SL12-096-sep,Caenis,80
invSWfor-SL12-101-sep,Caenis,30
invSWfor-SL12-121-sep,Caenis,17
invSWfor-SL12-130-sep,Caenis,1
invSWfor-SL12-191-sep,Caenis,21
invSWfor-SL12-557-sep,Caenis,4
invSWfor-SL12-978-sep,Caenis,1
invHDfor-SL12-022-sep,Caenis diminuta,1
invHDfor-SL12-023-sep,Caenis diminuta,3
invHDfor-SL12-022-sep,Caenis hilaris,1
invHDfor-SL12-023-sep,Caenis hilaris,1
invHDfor-SL12-033-sep,Caenis hilaris,1
invPPfor-SL12-012-sep,Caenis latipennis,1
invPPfor-SL12-017-sep,Caenis latipennis,1
invPPfor-SL12-022-sep,Caenis latipennis,1
invPPfor-SL12-024-sep,Caenis latipennis,1
invPPfor-SL12-062-sep,Caenis latipennis,1
invPPfor-SL12-070-sep,Caenis latipennis,4
invSWfor-SL12-012-sep,Caenis latipennis,1
invSWfor-SL12-053-sep,Caenis latipennis,21
invSWfor-SL12-121-sep,Caenis latipennis,19
invSWfor-SL12-444-sep,Caenis latipennis,1
invHDfor-SL12-033-sep,Caenis tardata,1
invHDfor-SL12-034-sep,Caenis tardata,1
invSWfor-SL12-121-sep,Caenis youngi,4
invSWfor-SL12-101-sep,Callibaetis,12
invSWfor-SL12-096-sep,Centroptilum,1
invSWfor-SL12-121-sep,Centroptilum,17
invSWfor-SL12-191-sep,Centroptilum,6
invSWfor-SL12-444-sep,Centroptilum,1
invSWfor-SL12-096-sep,Ceratopogon,8
invSWfor-SL12-096-sep,Ceratopogonidae,1
invHDfor-SL12-017-sep,Ceratopsyche walkeri,6
invSWfor-SL12-096-sep,Chaetogaster,11
invSWfor-SL12-101-sep,Chaetogaster,5
invSWfor-SL12-053-sep,Chaetogaster diaphanus,18
invPPfor-SL12-002-sep,Chaoborus,8
invPPfor-SL12-003-sep,Chaoborus,16
invPPfor-SL12-004-sep,Chaoborus,4
invPPfor-SL12-006-sep,Chaoborus,12
invPPfor-SL12-008-sep,Chaoborus,8
invPPfor-SL12-009-sep,Chaoborus,1
invPPfor-SL12-010-sep,Chaoborus,4
invPPfor-SL12-011-sep,Chaoborus,4
invPPfor-SL12-013-sep,Chaoborus,2
invPPfor-SL12-015-sep,Chaoborus,3
invPPfor-SL12-016-sep,Chaoborus,1
invPPfor-SL12-019-sep,Chaoborus,3
invPPfor-SL12-020-sep,Chaoborus,3
invPPfor-SL12-023-sep,Chaoborus,1
invPPfor-SL12-025-sep,Chaoborus,1
invPPfor-SL12-026-sep,Chaoborus,4
invPPfor-SL12-029-sep,Chaoborus,1
invPPfor-SL12-033-sep,Chaoborus,8
invPPfor-SL12-035-sep,Chaoborus,26
invPPfor-SL12-036-sep,Chaoborus,12
invPPfor-SL12-039-sep,Chaoborus,2
invPPfor-SL12-041-sep,Chaoborus,1
invPPfor-SL12-043-sep,Chaoborus,8
invPPfor-SL12-045-sep,Chaoborus,1
invPPfor-SL12-046-sep,Chaoborus,2
invPPfor-SL12-047-sep,Chaoborus,2
invPPfor-SL12-048-sep,Chaoborus,1
invPPfor-SL12-049-sep,Chaoborus,2
invPPfor-SL12-051-sep,Chaoborus,1
invPPfor-SL12-056-sep,Chaoborus,3
invPPfor-SL12-059-sep,Chaoborus,1
invPPfor-SL12-060-sep,Chaoborus,3
invPPfor-SL12-062-sep,Chaoborus,2
invPPfor-SL12-066-sep,Chaoborus,8
invPPfor-SL12-073-sep,Chaoborus,1
invSWfor-SL12-060-sep,Chaoborus,4
invSWfor-SL12-063-sep,Chaoborus,1
invHDfor-SL12-014-sep,Chironomidae,3
invHDfor-SL12-017-sep,Chironomidae,2
invHDfor-SL12-022-sep,Chironomidae,74
invHDfor-SL12-023-sep,Chironomidae,8
invHDfor-SL12-044-sep,Chironomidae,1
invHDfor-SL12-060-sep,Chironomidae,2
invPPfor-SL12-005-sep,Chironomidae,1
invPPfor-SL12-015-sep,Chironomidae,1
invSWfor-SL12-012-sep,Chironomidae,3
invSWfor-SL12-053-sep,Chironomidae,2
invSWfor-SL12-096-sep,Chironomidae,8
invSWfor-SL12-101-sep,Chironomidae,6
invSWfor-SL12-121-sep,Chironomidae,14
invSWfor-SL12-191-sep,Chironomidae,6
