"SiteCodeKey","SysCode","InvEventKey","InvYear","InvGear"
"1","CB13-0001","CBay","invPFeth-CB13-0001-aug",2013,"PONARfull"
"2","CB13-0002","CBay","invPFeth-CB13-0002-aug",2013,"PONARfull"
"3","CB13-0003","CBay","invPFeth-CB13-0003-aug",2013,"PONARfull"
"4","CB13-0004","CBay","invPFeth-CB13-0004-aug",2013,"PONARfull"
"5","CB13-0005","CBay","invPFeth-CB13-0005-aug",2013,"PONARfull"
"6","CB13-0006","CBay","invPFeth-CB13-0006-aug",2013,"PONARfull"
"7","CB13-0007","CBay","invPFeth-CB13-0007-aug",2013,"PONARfull"
"8","CB13-0008","CBay","invBSeth-CB13-0008-aug",2013,"benthicsled"
"9","CB13-0008","CBay","invPFeth-CB13-0008-aug",2013,"PONARfull"
"10","CB13-0009","CBay","invPFeth-CB13-0009-aug",2013,"PONARfull"
"11","CB13-0010","CBay","invPFeth-CB13-0010-aug",2013,"PONARfull"
"12","CB13-0011","CBay","invPFeth-CB13-0011-aug",2013,"PONARfull"
"13","CB13-0012","CBay",NA,NA,NA
"14","CB13-0013","CBay","invPFeth-CB13-0013-aug",2013,"PONARfull"
"15","CB13-0014","CBay","invPFeth-CB13-0014-aug",2013,"PONARfull"
"16","CB13-0015","CBay","invPFeth-CB13-0015-aug",2013,"PONARfull"
"17","CB13-0016","CBay","invPFeth-CB13-0016-aug",2013,"PONARfull"
"18","CB13-0017","CBay","invPFeth-CB13-0017-aug",2013,"PONARfull"
"19","CB13-0018","CBay","invPFeth-CB13-0018-aug",2013,"PONARfull"
"20","CB13-0019","CBay","invPFeth-CB13-0019-aug",2013,"PONARfull"
"21","CB13-0020","CBay","invPFeth-CB13-0020-aug",2013,"PONARfull"
"22","CB13-0021","CBay","invPFeth-CB13-0021-aug",2013,"PONARfull"
"23","CB13-0022","CBay","invPFeth-CB13-0022-aug",2013,"PONARfull"
"24","CB13-0023","CBay","invPFeth-CB13-0023-aug",2013,"PONARfull"
"25","CB13-0024","CBay","invPFeth-CB13-0024-aug",2013,"PONARfull"
"26","CB13-0025","CBay","invPFeth-CB13-0025-aug",2013,"PONARfull"
"27","CB13-0026","CBay","invPFeth-CB13-0026-aug",2013,"PONARfull"
"28","CB13-0027","CBay","invPFeth-CB13-0027-aug",2013,"PONARfull"
"29","CB13-0028","CBay","invPFeth-CB13-0028-aug",2013,"PONARfull"
"30","CB13-0029","CBay","invPFeth-CB13-0029-aug",2013,"PONARfull"
"31","CB13-0030","CBay","invPFeth-CB13-0030-aug",2013,"PONARfull"
"32","CB13-0031","CBay","invPFeth-CB13-0031-aug",2013,"PONARfull"
"33","CB13-0032","CBay","invPFeth-CB13-0032-aug",2013,"PONARfull"
"34","CB13-0033","CBay","invPFeth-CB13-0033-aug",2013,"PONARfull"
"35","CB13-0034","CBay","invPFeth-CB13-0034-aug",2013,"PONARfull"
"36","CB13-0035","CBay","invPFeth-CB13-0035-aug",2013,"PONARfull"
"37","CB13-0036","CBay",NA,NA,NA
"38","CB13-0037","CBay","invPFeth-CB13-0037-aug",2013,"PONARfull"
"39","CB13-0038","CBay","invPFeth-CB13-0038-aug",2013,"PONARfull"
